cazy	YA7_bin.1	YA7_bin.10	YA7_bin.12	YA7_bin.18	YA7_bin.2	YA7_bin.20	YA7_bin.21	YA7_bin.22	YA7_bin.24	YA7_bin.25	YA7_bin.26	YA7_bin.29	YA7_bin.3	YA7_bin.31	YA7_bin.4	YA7_bin.40	YA7_bin.41	YA7_bin.42	YA7_bin.43	YA7_bin.44	YA7_bin.5	YA7_bin.68	YB7_bin.103	YB7_bin.109	YB7_bin.110	YB7_bin.119	YB7_bin.12.strict_filtered2000	YB7_bin.13	YB7_bin.132	YB7_bin.136.permissive_filtered2000	YB7_bin.14	YB7_bin.143	YB7_bin.165	YB7_bin.17.strict_filtered2000	YB7_bin.18	YB7_bin.180	YB7_bin.181	YB7_bin.186	YB7_bin.190	YB7_bin.2.strict_filtered2500	YB7_bin.21	YB7_bin.31	YB7_bin.39	YB7_bin.43	YB7_bin.51	YB7_bin.6	YB7_bin.61	YB7_bin.7	YB7_bin.77	YB7_bin.8.permissive_filtered2500	YB7_bin.83	YB7_bin.85	YB7_bin.90	YB7_bin.98	YB7_bin.99.strict_filtered2500	YA16_bin.1	YA16_bin.107	YA16_bin.2.permissive_filtered2000	YA16_bin.24	YA16_bin.3	YA16_bin.321	YA16_bin.35.permissive_filtered2000	YA16_bin.4	YA16_bin.46	YA16_bin.56	YA16_bin.647	YA16_bin.67	YA16_bin.689	YA16_bin.703	YB16_bin.105.strict	YB16_bin.110	YB16_bin.111.permissive_filtered2500	YB16_bin.112	YB16_bin.113	YB16_bin.115	YB16_bin.117.strict_filtered2000	YB16_bin.118	YB16_bin.119	YB16_bin.120	YB16_bin.123.strict_filtered2000	YB16_bin.125.permissive_filtered2000	YB16_bin.132	YB16_bin.137.permissive_filtered2000	YB16_bin.151	YB16_bin.156.strict_filtered2000	YB16_bin.179.strict_filtered2000	YB16_bin.180.strict_filtered2000	YB16_bin.182	YB16_bin.183	YB16_bin.186.permissive_filtered2000	YB16_bin.192	YB16_bin.242	YB16_bin.39	YB16_bin.42.permissive_filtered2000	YB16_bin.49	YB16_bin.51.strict_filtered2000	YB16_bin.54	YB16_bin.56	YB16_bin.58	YB16_bin.62	YB16_bin.66	YB16_bin.69	YB16_bin.70	YB16_bin.72	YB16_bin.73	YB16_bin.90.permissive_filtered2000	YB16_bin.92	YB16_bin.94.strict_filtered2000	YB16_bin.95.permissive_filtered2000	YA34_bin.14.permissive_filtered2000	YA34_bin.15	YA34_bin.16.strict_filtered2000	YA34_bin.17	YA34_bin.18	YA34_bin.19.strict_filtered2000	YA34_bin.2.strict_filtered2000	YA34_bin.20.strict_filtered2000	YA34_bin.21.permissive_filtered2000	YA34_bin.22.permissive_filtered2500	YA34_bin.23.permissive_filtered2000	YA34_bin.24.strict_filtered2000	YA34_bin.3.strict_filtered2000	YA34_bin.32	YA34_bin.33	YA34_bin.38.permissive_filtered2000	YA34_bin.7.permissive_filtered2000	YA34_bin.8	YB34_bin.11	YB34_bin.12	YB34_bin.13	YB34_bin.14.strict_filtered2000	YB34_bin.22	YB34_bin.23	YB34_bin.24	YB34_bin.27	YB34_bin.28	YB34_bin.3.permissive_filtered2500	YB34_bin.30	YB34_bin.31	YB34_bin.34	YB34_bin.35	YB34_bin.36.strict_filtered2000	YB34_bin.37	YB34_bin.38	YB34_bin.39.permissive_filtered2000	YB34_bin.40.permissive_filtered2000	YB34_bin.41.permissive_filtered2000	YB34_bin.42.permissive_filtered2000	YB34_bin.47	YB34_bin.48	YB34_bin.50	YB34_bin.51	YB34_bin.57	YB34_bin.58	YB34_bin.59.permissive_filtered2000	YB34_bin.6	YB34_bin.60	YB34_bin.61.permissive_filtered2500	YB34_bin.7.permissive	YB34_bin.8	YB34_bin.9	YA37_bin.102	YA37_bin.103	YA37_bin.108	YA37_bin.109	YA37_bin.11.strict_filtered2000	YA37_bin.110	YA37_bin.111	YA37_bin.113.permissive_filtered2000	YA37_bin.114.permissive_filtered2000	YA37_bin.116	YA37_bin.117	YA37_bin.118.strict	YA37_bin.119	YA37_bin.120	YA37_bin.121.permissive_filtered2500	YA37_bin.122	YA37_bin.123	YA37_bin.126	YA37_bin.127.permissive_filtered2000	YA37_bin.129	YA37_bin.14.permissive_filtered2000	YA37_bin.149.strict_filtered2000	YA37_bin.151.strict_filtered2500	YA37_bin.16	YA37_bin.193	YA37_bin.22	YA37_bin.23.permissive_filtered2000	YA37_bin.29	YA37_bin.30.permissive_filtered2000	YA37_bin.32	YA37_bin.37	YA37_bin.38.permissive_filtered2500	YA37_bin.40.permissive_filtered2000	YA37_bin.42	YA37_bin.45	YA37_bin.46.strict_filtered2000	YA37_bin.48.permissive_filtered2000	YA37_bin.5.strict_filtered2500	YA37_bin.50.permissive_filtered2000	YA37_bin.54	YA37_bin.61.strict_filtered2000	YA37_bin.62	YA37_bin.64	YA37_bin.72.permissive_filtered2000	YA37_bin.73.permissive_filtered2000	YA37_bin.85	YA37_bin.91	YA37_bin.92	YB37_bin.com10	YB37_bin.com11.permissive_filtered2000	YB37_bin.com12	YB37_bin.com13.strict_filtered2000	YB37_bin.com19.strict_filtered2500	YB37_bin.com24	YB37_bin.com26	YB37_bin.com27.permissive_filtered2000	YB37_bin.com35.permissive_filtered2000	YB37_bin.com7.strict_filtered2000	YB37_bin.com9.permissive_filtered2000	YB37_bin.sin107	YB37_bin.sin108	YB37_bin.sin121	YB37_bin.sin125.strict_filtered2000	YB37_bin.sin136.permissive_filtered2000	YB37_bin.sin137.strict_filtered2500	YB37_bin.sin138	YB37_bin.sin157.strict_filtered2000	YB37_bin.sin162	YB37_bin.sin166	YB37_bin.sin168	YB37_bin.sin17.strict_filtered2000	YB37_bin.sin171.strict	YB37_bin.sin26.permissive_filtered2000	YB37_bin.sin28.permissive_filtered2000	YB37_bin.sin30.strict_filtered2000	YB37_bin.sin46	YB37_bin.sin53.permissive_filtered2500	YB37_bin.sin57	YB37_bin.sin68.strict_filtered2000	YB37_bin.sin7.permissive_filtered2000	YB37_bin.sin76.permissive_filtered2000	YB37_bin.sin81	YB37_bin.sin9	F1900143.1	F1900143.10	F1900143.11	F1900143.12	F1900143.13	F1900143.14	F1900143.15	F1900143.16	F1900143.17	F1900143.18	F1900143.19	F1900143.2	F1900143.20	F1900143.21	F1900143.22	F1900143.3	F1900143.4	F1900143.5	F1900143.6	F1900143.7	F1900143.8	F1900143.9	F1900143.23	F1900186.1	F1900186.10	F1900186.11	F1900186.12	F1900186.13	F1900186.14	F1900186.15	F1900186.16	F1900186.17	F1900186.18	F1900186.19	F1900186.2	F1900186.20	F1900186.21	F1900186.22	F1900186.23	F1900186.24	F1900186.25	F1900186.26	F1900186.27	F1900186.28	F1900186.29	F1900186.3	F1900186.30	F1900186.31	F1900186.32	F1900186.33	F1900186.34	F1900186.35	F1900186.37	F1900186.38	F1900186.39	F1900186.4	F1900186.40	F1900186.42	F1900186.43	F1900186.44	F1900186.45	F1900186.46	F1900186.47	F1900186.48	F1900186.49	F1900186.5	F1900186.50	F1900186.51	F1900186.53	F1900186.54	F1900186.55	F1900186.6	F1900186.7	F1900186.8	F1900186.9	F1900313.1	F1900313.10	F1900313.11	F1900313.12	F1900313.13	F1900313.14	F1900313.15	F1900313.16	F1900313.17	F1900313.18	F1900313.19	F1900313.2	F1900313.20	F1900313.21	F1900313.22	F1900313.23	F1900313.24	F1900313.25	F1900313.26	F1900313.27	F1900313.28	F1900313.29	F1900313.3	F1900313.30	F1900313.31	F1900313.32	F1900313.33	F1900313.34	F1900313.35	F1900313.36	F1900313.37	F1900313.38	F1900313.39	F1900313.4	F1900313.40	F1900313.41	F1900313.42	F1900313.43	F1900313.44	F1900313.46	F1900313.47	F1900313.48	F1900313.49	F1900313.5	F1900313.51	F1900313.52	F1900313.53	F1900313.6	F1900313.7	F1900313.8	F1900313.9	F1900372.10	F1900372.100	F1900372.101	F1900372.103	F1900372.11	F1900372.12	F1900372.13	F1900372.14	F1900372.15	F1900372.16	F1900372.17	F1900372.18	F1900372.19	F1900372.2	F1900372.20	F1900372.21	F1900372.22	F1900372.23	F1900372.24	F1900372.26	F1900372.3	F1900372.31	F1900372.32	F1900372.33	F1900372.34	F1900372.35	F1900372.36	F1900372.38	F1900372.39	F1900372.4	F1900372.40	F1900372.41	F1900372.43	F1900372.44	F1900372.45	F1900372.46	F1900372.47	F1900372.48	F1900372.49	F1900372.5	F1900372.50	F1900372.52	F1900372.53	F1900372.54	F1900372.55	F1900372.56	F1900372.58	F1900372.6	F1900372.61	F1900372.62	F1900372.63	F1900372.64	F1900372.65	F1900372.66	F1900372.68	F1900372.69	F1900372.7	F1900372.70	F1900372.71	F1900372.73	F1900372.75	F1900372.76	F1900372.77	F1900372.78	F1900372.79	F1900372.8	F1900372.80	F1900372.82	F1900372.83	F1900372.85	F1900372.86	F1900372.87	F1900372.88	F1900372.89	F1900372.9	F1900372.90	F1900372.93	F1900372.94	F1900372.95	F1900372.96	F1900372.97	F1900372.99
GT102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT104	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT11	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4
GT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT14	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GT17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GT19	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GT2	9	16	11	5	12	7	8	9	13	5	13	22	4	13	6	7	26	12	18	11	11	6	2	7	8	0	1	22	10	14	7	6	4	17	13	10	21	7	17	13	12	4	11	5	4	5	8	2	13	30	8	12	11	4	16	9	5	6	4	37	14	4	7	4	6	5	17	6	8	10	9	4	6	10	0	19	4	12	13	6	6	17	16	12	27	4	7	11	9	12	12	14	18	4	7	9	14	2	27	14	19	7	9	4	2	9	23	4	2	10	0	5	12	11	8	23	11	15	8	27	7	4	5	15	11	7	18	10	11	2	4	13	4	18	10	5	11	11	13	11	9	11	6	15	4	7	12	20	7	8	9	12	19	12	19	2	17	2	5	12	4	12	5	11	13	23	9	5	6	6	7	2	13	9	19	6	16	13	4	13	16	13	15	29	11	7	14	14	5	1	7	1	10	1	9	9	15	10	3	7	1	0	0	0	6	2	22	7	26	15	12	7	30	7	9	2	21	13	18	16	13	12	11	12	2	4	14	17	19	6	6	8	5	6	3	17	6	0	5	12	18	2	10	12	11	5	4	8	14	10	16	11	8	7	9	11	10	14	20	6	8	5	7	11	15	11	18	10	19	10	9	5	8	21	7	4	7	10	13	7	5	8	17	0	16	15	8	5	19	10	6	8	9	21	6	7	13	17	8	8	15	6	4	11	2	15	8	3	7	8	2	6	7	12	17	5	15	9	12	21	19	10	6	5	0	10	3	4	4	1	9	6	3	13	19	15	4	9	7	8	5	23	5	12	8	24	19	17	22	2	6	14	9	17	6	2	12	4	5	1	8	1	10	7	1	9	1	16	12	13	10	12	20	3	0	9	19	4	2	3	2	10	1	9	4	2	4	4	17	1	13	4	8	1	10	11	15	17	12	14	4	3	20	18	29	10	5	4	7	10	5	11	5	2	0	4	10	11	3	3	11	14	10	8	15	5	11	5	2	1	7	6	8	10	9	22	13	10	4	6	10	6	0	7	3	6	15	11	8	5	23	23
GT20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
